Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2014,4,Eixample,Sagrada Familia,687.26,10.32
2014,4,Eixample,la Dreta de l'Eixample,975.96,9.87
2014,4,Eixample,l'Antiga Esquerra de l'Eixample,848.56,10.36
2014,4,Eixample,la Nova Esquerra de l'Eixample,753.61,10.46
2014,4,Eixample,Sant Antoni,720.14,9.94
2014,4,Sants-Montjuic,el Poble Sec,602.55,10.2
2014,4,Sants-Montjuic,la Marina de Port,574.45,8.66
2014,4,Sants-Montjuic,la Font de la Guatlla,679.58,11.02
2014,4,Sants-Montjuic,Hostafrancs,603.86,10.63
2014,4,Sants-Montjuic,la Bordeta,621.68,9.37
2014,4,Sants-Montjuic,Sants - Badal,602.28,9.77
2014,4,Sants-Montjuic,Sants,647.14,10.06
2014,4,Les Corts,les Corts,802.23,11.01
2014,4,Les Corts,la Maternitat i Sant Ramon,806.43,10.54
2014,4,Les Corts,Pedralbes,1762.06,13.99
2014,4,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1754.44,15.88
2014,4,Sarria-Sant Gervasi,Sarria,1004.37,13.52
2014,4,Sarria-Sant Gervasi,les Tres Torres,1352.08,13.18
2014,4,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,948.26,11.44
2014,4,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1047.5,11.62
2014,4,Sarria-Sant Gervasi,el Putxet i el Farro,761.7,10.94
2014,4,Gracia,Vallcarca i els Penitents,691.94,10.55
2014,4,Gracia,el Coll,552.75,9.61
2014,4,Gracia,la Salut,655.87,10.21
2014,4,Gracia,la Vila de Gracia,681.25,11.2
2014,4,Gracia,el Camp d'en Grassot i Gracia Nova,681.26,10.07
2014,4,Horta-Guinardo,el Baix Guinardo,638.55,9.63
2014,4,Horta-Guinardo,Can Baro,545.11,9.62
2014,4,Horta-Guinardo,el Guinardo,590.31,9.01
2014,4,Horta-Guinardo,la Font d'en Fargues,784.44,8.82
2014,4,Horta-Guinardo,el Carmel,506.26,8.66
2014,4,Horta-Guinardo,la Teixonera,506.77,8.85
2014,4,Horta-Guinardo,Sant Genis dels Agudells,550.45,7.69
2014,4,Horta-Guinardo,Montbau,544.47,9.26
2014,4,Horta-Guinardo,la Vall d'Hebron,672.22,10.67
2014,4,Horta-Guinardo,Horta,585.58,9.3
2014,4,Nou Barris,Vilapicina i la Torre Llobeta,579.11,8.59
2014,4,Nou Barris,Porta,552.56,8.49
2014,4,Nou Barris,el Turo de la Peira,501.06,8.19
2014,4,Nou Barris,la Guineueta,620.83,8.3
2014,4,Nou Barris,Canyelles,566.36,7.7
2014,4,Nou Barris,les Roquetes,450.4,8.46
2014,4,Nou Barris,Verdun,502.41,9.51
2014,4,Nou Barris,la Prosperitat,515.99,8.97
2014,4,Nou Barris,la Trinitat Nova,420.98,8.03
2014,4,Nou Barris,Ciutat Meridiana,360.94,6.17
2014,4,Sant Andreu,la Trinitat Vella,400.76,7.13
2014,4,Sant Andreu,el Bon Pastor,514.58,8.55
2014,4,Sant Andreu,Sant Andreu,557.1,8.94
2014,4,Sant Andreu,la Sagrera,616.27,8.98
2014,4,Sant Andreu,el Congres i els Indians,607.77,9.03
2014,4,Sant Andreu,Navas,647.84,9.24
2014,4,Sant Marti,el Camp de l'Arpa del Clot,615.61,9.62
2014,4,Sant Marti,el Clot,643.75,9.47
2014,4,Sant Marti,el Parc i la Llacuna del Poblenou,634.12,9.66
2014,4,Sant Marti,la Vila Olimpica del Poblenou,991.06,12.25
2014,4,Sant Marti,el Poblenou,658.01,10.19
2014,4,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,1130.29,11.49
2014,4,Sant Marti,el Besos i el Maresme,504.19,8.09
2014,4,Sant Marti,Provencals del Poblenou,649.21,10.03
